Unicode,Image,X,Y,Block ID,Char ID,Width,Height
U+81EA,100241706_00004_2,1852,1736,B0001,C0001,104,219
U+5E8F,100241706_00004_2,1816,2096,B0001,C0002,152,296
U+82E5,100241706_00004_2,1465,951,B0001,C0003,172,216
U+3044,100241706_00004_2,1495,1218,B0001,C0004,143,69
U+6642,100241706_00004_2,1465,1338,B0001,C0005,168,179
U+306E,100241706_00004_2,1497,1567,B0001,C0006,123,152
U+6C17,100241706_00004_2,1504,1754,B0001,C0007,145,200
U+5F37,100241706_00004_2,1479,2034,B0001,C0008,163,145
U+306B,100241706_00004_2,1521,2239,B0001,C0009,83,237
U+5DF1,100241706_00004_2,1513,2500,B0001,C0010,127,117
U+3084,100241706_00004_2,1489,2675,B0001,C0011,151,109
U+308C,100241706_00004_2,1495,2784,B0001,C0012,168,159
U+3068,100241706_00004_2,1561,2979,B0001,C0013,55,116
U+601D,100241706_00004_2,1492,3175,B0001,C0014,159,180
U+3075,100241706_00004_2,1512,3371,B0001,C0015,147,176
U+305F,100241706_00004_2,1164,952,B0001,C0016,145,153
U+7D30,100241706_00004_2,1144,1212,B0001,C0017,200,128
U+5DE5,100241706_00004_2,1168,1396,B0001,C0018,187,95
U+3082,100241706_00004_2,1213,1523,B0001,C0019,72,119
U+8001,100241706_00004_2,1167,1687,B0001,C0020,152,208
U+6B66,100241706_00004_2,1184,1942,B0001,C0021,171,208
U+8005,100241706_00004_2,1192,2198,B0001,C0022,133,169
U+306E,100241706_00004_2,1184,2423,B0001,C0023,169,125
U+304B,100241706_00004_2,1188,2606,B0001,C0024,156,157
U+306A,100241706_00004_2,1191,2775,B0001,C0025,135,181
U+3057,100241706_00004_2,1243,2942,B0001,C0026,39,313
U+3055,100241706_00004_2,1219,3266,B0001,C0027,95,124
U+306F,100241706_00004_2,1231,3465,B0001,C0028,133,53
U+606F,100241706_00004_2,876,937,B0001,C0029,123,244
U+5B50,100241706_00004_2,891,1255,B0001,C0030,100,164
U+306B,100241706_00004_2,911,1452,B0001,C0031,61,92
U+53CA,100241706_00004_2,849,1588,B0001,C0032,151,164
U+305A,100241706_00004_2,889,1763,B0001,C0033,103,171
U+6D6E,100241706_00004_2,868,1982,B0001,C0034,155,184
U+4E16,100241706_00004_2,849,2236,B0001,C0035,163,127
U+3092,100241706_00004_2,873,2400,B0001,C0036,145,192
U+88CF,100241706_00004_2,851,2608,B0001,C0037,169,237
U+306E,100241706_00004_2,904,2879,B0001,C0038,95,92
U+4E09,100241706_00004_2,897,3034,B0001,C0039,121,107
U+7573,100241706_00004_2,905,3189,B0001,C0040,103,244
U+306B,100241706_00004_2,927,3445,B0001,C0041,71,92
U+907F,100241706_00004_2,513,945,B0001,C0042,181,171
U+3066,100241706_00004_2,552,1199,B0001,C0043,97,155
U+6B63,100241706_00004_2,539,1439,B0001,C0044,136,172
U+98A8,100241706_00004_2,541,1619,B0001,C0045,147,236
U+306E,100241706_00004_2,547,1912,B0001,C0046,141,108
U+4FF3,100241706_00004_2,537,2095,B0001,C0047,176,155
U+8AE7,100241706_00004_2,549,2328,B0001,C0048,156,159
U+3092,100241706_00004_2,584,2546,B0001,C0049,117,164
U+697D,100241706_00004_2,568,2762,B0001,C0050,133,209
U+3057,100241706_00004_2,629,2985,B0001,C0051,27,300
U+3081,100241706_00004_2,593,3313,B0001,C0052,151,184
U+3069,100241706_00004_2,220,928,B0001,C0053,139,229
U+3082,100241706_00004_2,247,1159,B0001,C0054,116,212
U+6839,100241706_00004_2,203,1439,B0001,C0055,184,156
U+304C,100241706_00004_2,275,1652,B0001,C0056,84,69
U+8077,100241706_00004_2,208,1770,B0001,C0057,197,204
U+4EBA,100241706_00004_2,217,2044,B0001,C0058,183,135
U+306E,100241706_00004_2,259,2230,B0001,C0059,68,125
U+6587,100241706_00004_2,192,2382,B0001,C0060,216,173
U+76F2,100241706_00004_2,253,2578,B0001,C0061,119,215
U+3060,100241706_00004_2,243,2830,B0001,C0062,159,143
U+3051,100241706_00004_2,277,2974,B0001,C0063,112,137
U+3053,100241706_00004_2,289,3166,B0001,C0064,69,97
U+305D,100241706_00004_2,316,3287,B0001,C0065,57,133
U+3051,100241706_00004_2,220,3331,B0001,C0066,53,91
U+308C,100241706_00004_2,201,3423,B0001,C0067,181,137
U+304C,100241706_00005_1,2051,945,B0001,C0001,121,117
U+5541,100241706_00005_1,2009,1162,B0001,C0002,163,157
U+306B,100241706_00005_1,2059,1360,B0001,C0003,55,80
U+3064,100241706_00005_1,2017,1520,B0001,C0004,124,169
U+304B,100241706_00005_1,2036,1722,B0001,C0005,65,76
U+3078,100241706_00005_1,1995,1799,B0001,C0006,193,83
U+3089,100241706_00005_1,2049,1924,B0001,C0007,76,153
U+3093,100241706_00005_1,2007,2080,B0001,C0008,157,121
U+3089,100241706_00005_1,2051,2239,B0001,C0009,72,143
U+3081,100241706_00005_1,2031,2386,B0001,C0010,109,155
U+3089,100241706_00005_1,2049,2566,B0001,C0011,80,144
U+3057,100241706_00005_1,2059,2715,B0001,C0012,24,208
U+3082,100241706_00005_1,2023,2925,B0001,C0013,80,116
U+3089,100241706_00005_1,2056,3085,B0001,C0014,67,135
U+3064,100241706_00005_1,2004,3233,B0001,C0015,149,120
U+3057,100241706_00005_1,2047,3345,B0001,C0016,27,239
U+3053,100241706_00005_1,1708,939,B0001,C0017,144,165
U+304F,100241706_00005_1,1761,1108,B0001,C0018,48,181
U+305F,100241706_00005_1,1699,1363,B0001,C0019,135,136
U+3044,100241706_00005_1,1709,1567,B0001,C0020,136,76
U+3055,100241706_00005_1,1709,1731,B0001,C0021,93,151
U+308C,100241706_00005_1,1696,1883,B0001,C0022,157,203
U+3068,100241706_00005_1,1749,2115,B0001,C0023,51,140
U+3082,100241706_00005_1,1735,2288,B0001,C0024,97,184
U+4EBA,100241706_00005_1,1669,2526,B0001,C0025,184,159
U+9593,100241706_00005_1,1684,2743,B0001,C0026,157,149
U+6D3B,100241706_00005_1,1689,2961,B0001,C0027,159,147
U+7269,100241706_00005_1,1687,3171,B0001,C0028,148,148
U+306B,100241706_00005_1,1741,3329,B0001,C0029,43,77
U+3066,100241706_00005_1,1692,3421,B0001,C0030,109,137
U+5FC3,100241706_00005_1,1364,941,B0001,C0031,211,117
U+3092,100241706_00005_1,1399,1143,B0001,C0032,152,177
U+4F7F,100241706_00005_1,1367,1384,B0001,C0033,171,221
U+3075,100241706_00005_1,1393,1608,B0001,C0034,149,209
U+304B,100241706_00005_1,1456,1832,B0001,C0035,40,73
U+624B,100241706_00005_1,1401,1964,B0001,C0036,109,233
U+8DB3,100241706_00005_1,1397,2212,B0001,C0037,136,173
U+3092,100241706_00005_1,1403,2439,B0001,C0038,120,165
U+3064,100241706_00005_1,1372,2704,B0001,C0039,149,193
U+304B,100241706_00005_1,1432,2900,B0001,C0040,49,156
U+3075,100241706_00005_1,1364,3062,B0001,C0041,160,244
U+304B,100241706_00005_1,1404,3405,B0001,C0042,80,95
U+3058,100241706_00005_1,1051,935,B0001,C0043,208,191
U+3063,100241706_00005_1,1048,1166,B0001,C0044,176,144
U+3068,100241706_00005_1,1135,1310,B0001,C0045,47,155
U+3057,100241706_00005_1,1125,1531,B0001,C0046,25,249
U+3066,100241706_00005_1,1085,1804,B0001,C0047,99,172
U+306F,100241706_00005_1,1087,2018,B0001,C0048,103,65
U+5C45,100241706_00005_1,1040,2146,B0001,C0049,148,213
U+3089,100241706_00005_1,1103,2375,B0001,C0050,79,179
U+308C,100241706_00005_1,1049,2571,B0001,C0051,172,227
U+306C,100241706_00005_1,1071,2872,B0001,C0052,137,108
U+306A,100241706_00005_1,1072,3050,B0001,C0053,131,168
U+3089,100241706_00005_1,1119,3219,B0001,C0054,68,184
U+3072,100241706_00005_1,1068,3395,B0001,C0055,159,133
U+91A4,100241706_00005_1,724,951,B0001,C0056,149,268
U+3067,100241706_00005_1,760,1275,B0001,C0057,151,157
U+8336,100241706_00005_1,748,1459,B0001,C0058,136,220
U+6F2C,100241706_00005_1,737,1736,B0001,C0059,149,261
U+3092,100241706_00005_1,767,2011,B0001,C0060,120,213
U+3057,100241706_00005_1,725,2280,B0001,C0061,180,165
U+3066,100241706_00005_1,739,2451,B0001,C0062,124,180
U+3084,100241706_00005_1,743,2680,B0001,C0063,140,128
U+308A,100241706_00005_1,791,2835,B0001,C0064,37,157
U+306A,100241706_00005_1,744,3030,B0001,C0065,132,149
U+304C,100241706_00005_1,795,3171,B0001,C0066,91,92
U+3089,100241706_00005_1,777,3287,B0001,C0067,105,197
U+601D,100241706_00005_1,381,944,B0001,C0068,187,153
U+3072,100241706_00005_1,415,1172,B0001,C0069,149,148
U+4ED8,100241706_00005_1,439,1378,B0001,C0070,97,204
U+305F,100241706_00005_1,441,1598,B0001,C0071,100,184
U+308B,100241706_00005_1,467,1788,B0001,C0072,60,124
U+7269,100241706_00005_1,391,1988,B0001,C0073,201,171
U+985E,100241706_00005_1,423,2186,B0001,C0074,147,184
U+540D,100241706_00005_1,408,2408,B0001,C0075,136,177
U+7FA9,100241706_00005_1,453,2574,B0001,C0076,135,223
U+5E74,100241706_00005_1,468,2839,B0001,C0077,89,247
U+4E45,100241706_00005_1,451,3089,B0001,C0078,157,147
U+3057,100241706_00005_1,408,3079,B0001,C0079,44,289
U+304F,100241706_00005_1,403,3399,B0001,C0080,49,139
U+4F4F,100241706_00005_2,1799,956,B0001,C0001,164,156
U+3080,100241706_00005_2,1829,1179,B0001,C0002,160,141
U+99AC,100241706_00005_2,1820,1370,B0001,C0003,156,175
U+98DF,100241706_00005_2,1809,1591,B0001,C0004,176,216
U+753A,100241706_00005_2,1817,1860,B0001,C0005,159,155
U+306E,100241706_00005_2,1841,2068,B0001,C0006,93,156
U+98DF,100241706_00005_2,1817,2254,B0001,C0007,151,224
U+3075,100241706_00005_2,1817,2479,B0001,C0008,139,159
U+3068,100241706_00005_2,1888,2618,B0001,C0009,23,99
U+3044,100241706_00005_2,1853,2747,B0001,C0010,105,132
U+3075,100241706_00005_2,1845,2880,B0001,C0011,127,144
U+304B,100241706_00005_2,1821,3067,B0001,C0012,168,96
U+3089,100241706_00005_2,1895,3165,B0001,C0013,81,145
U+59CB,100241706_00005_2,1827,3365,B0001,C0014,163,140
U+308A,100241706_00005_2,1525,955,B0001,C0015,109,204
U+3066,100241706_00005_2,1536,1160,B0001,C0016,81,185
U+5148,100241706_00005_2,1508,1398,B0001,C0017,152,183
U+98DF,100241706_00005_2,1501,1626,B0001,C0018,168,235
U+7269,100241706_00005_2,1515,1862,B0001,C0019,145,180
U+306E,100241706_00005_2,1551,2080,B0001,C0020,69,68
U+6545,100241706_00005_2,1503,2188,B0001,C0021,156,148
U+4E8B,100241706_00005_2,1524,2340,B0001,C0022,117,291
U+4ED8,100241706_00005_2,1535,2654,B0001,C0023,92,155
U+6848,100241706_00005_2,1511,2832,B0001,C0024,121,204
U+4E8B,100241706_00005_2,1529,3038,B0001,C0025,97,261
U+4EEE,100241706_00005_2,1503,3339,B0001,C0026,203,172
U+540D,100241706_00005_2,1187,947,B0001,C0027,153,209
U+9055,100241706_00005_2,1199,1158,B0001,C0028,151,287
U+3072,100241706_00005_2,1212,1446,B0001,C0029,133,173
U+3084,100241706_00005_2,1177,1675,B0001,C0030,180,156
U+3089,100241706_00005_2,1233,1863,B0001,C0031,100,215
U+3042,100241706_00005_2,1189,2120,B0001,C0032,152,133
U+3066,100241706_00005_2,1209,2272,B0001,C0033,121,137
U+5B57,100241706_00005_2,1228,2434,B0001,C0034,107,212
U+3084,100241706_00005_2,1187,2656,B0001,C0035,161,148
U+3089,100241706_00005_2,1244,2806,B0001,C0036,103,173
U+8A1B,100241706_00005_2,1175,3006,B0001,C0037,192,139
U+7247,100241706_00005_2,1209,3190,B0001,C0038,140,167
U+8A00,100241706_00005_2,1221,3361,B0001,C0039,133,172
U+3042,100241706_00005_2,881,957,B0001,C0040,151,199
U+305F,100241706_00005_2,884,1198,B0001,C0041,125,160
U+308A,100241706_00005_2,940,1359,B0001,C0042,37,155
U+307E,100241706_00005_2,885,1539,B0001,C0043,135,191
U+3078,100241706_00005_2,891,1731,B0001,C0044,163,68
U+3081,100241706_00005_2,901,1854,B0001,C0045,100,91
U+3063,100241706_00005_2,868,1996,B0001,C0046,168,140
U+305F,100241706_00005_2,905,2162,B0001,C0047,91,116
U+3084,100241706_00005_2,865,2354,B0001,C0048,172,105
U+305F,100241706_00005_2,879,2460,B0001,C0049,145,220
U+3089,100241706_00005_2,940,2682,B0001,C0050,79,167
U+306B,100241706_00005_2,877,2850,B0001,C0051,168,113
U+66F8,100241706_00005_2,879,3003,B0001,C0052,167,207
U+3064,100241706_00005_2,897,3309,B0001,C0053,125,209
U+3065,100241706_00005_2,549,956,B0001,C0054,209,183
U+308C,100241706_00005_2,545,1140,B0001,C0055,176,195
U+306F,100241706_00005_2,572,1376,B0001,C0056,125,57
U+5176,100241706_00005_2,580,1527,B0001,C0057,93,252
U+6570,100241706_00005_2,548,1794,B0001,C0058,188,199
U+51E0,100241706_00005_2,583,2062,B0001,C0059,148,135
U+3066,100241706_00005_2,572,2258,B0001,C0060,99,157
U+4F55,100241706_00005_2,555,2466,B0001,C0061,155,141
U+5341,100241706_00005_2,567,2674,B0001,C0062,124,145
U+6761,100241706_00005_2,560,2856,B0001,C0063,180,184
U+662F,100241706_00005_2,607,3085,B0001,C0064,131,156
U+3088,100241706_00005_2,609,3271,B0001,C0065,61,121
U+308A,100241706_00005_2,577,3394,B0001,C0066,89,193
U+6B21,100241706_00005_2,229,970,B0001,C0067,169,189
U+7B2C,100241706_00005_2,235,1178,B0001,C0068,151,257
U+306B,100241706_00005_2,292,1468,B0001,C0069,53,89
U+5618,100241706_00005_2,233,1610,B0001,C0070,183,176
U+304C,100241706_00005_2,309,1824,B0001,C0071,84,87
U+4E0A,100241706_00005_2,257,1974,B0001,C0072,159,112
U+308A,100241706_00005_2,324,2127,B0001,C0073,35,100
U+5929,100241706_00005_2,255,2304,B0001,C0074,172,188
U+9580,100241706_00005_2,239,2587,B0001,C0075,183,203
U+5730,100241706_00005_2,251,2867,B0001,C0076,200,141
U+7406,100241706_00005_2,280,3095,B0001,C0077,153,168
U+3068,100241706_00005_2,300,3306,B0001,C0078,115,289
U+9580,100241706_00006_1,1957,959,B0001,C0001,151,172
U+90E8,100241706_00006_1,1957,1203,B0001,C0002,144,145
U+3092,100241706_00006_1,1969,1411,B0001,C0003,151,163
U+308F,100241706_00006_1,1982,1634,B0001,C0004,67,200
U+3051,100241706_00006_1,1975,1835,B0001,C0005,113,216
U+8FFD,100241706_00006_1,1935,2108,B0001,C0006,164,201
U+3005,100241706_00006_1,2019,2311,B0001,C0007,36,171
U+5618,100241706_00006_1,1938,2551,B0001,C0008,181,199
U+3092,100241706_00006_1,1991,2775,B0001,C0009,117,173
U+3064,100241706_00006_1,1981,2991,B0001,C0010,137,127
U+304D,100241706_00006_1,2009,3087,B0001,C0011,79,172
U+306A,100241706_00006_1,1973,3287,B0001,C0012,132,140
U+3089,100241706_00006_1,2005,3430,B0001,C0013,119,169
U+306F,100241706_00006_1,1640,964,B0001,C0014,145,140
U+309E,100241706_00006_1,1714,1106,B0001,C0015,80,80
U+5618,100241706_00006_1,1623,1275,B0001,C0016,197,164
U+516B,100241706_00006_1,1654,1528,B0001,C0017,141,75
U+767E,100241706_00006_1,1640,1664,B0001,C0018,151,147
U+306B,100241706_00006_1,1676,1867,B0001,C0019,101,157
U+3082,100241706_00006_1,1687,2027,B0001,C0020,73,141
U+6E80,100241706_00006_1,1643,2230,B0001,C0021,156,189
U+306C,100241706_00006_1,1640,2490,B0001,C0022,151,137
U+3079,100241706_00006_1,1644,2628,B0001,C0023,148,220
U+3057,100241706_00006_1,1702,2850,B0001,C0024,31,225
U+7136,100241706_00006_1,1630,3097,B0001,C0025,191,163
U+308B,100241706_00006_1,1692,3291,B0001,C0026,57,101
U+3092,100241706_00006_1,1644,3414,B0001,C0027,148,139
U+8FD1,100241706_00006_1,1307,947,B0001,C0028,176,248
U+51E6,100241706_00006_1,1314,1218,B0001,C0029,168,241
U+306E,100241706_00006_1,1344,1536,B0001,C0030,104,111
U+66F8,100241706_00006_1,1354,1724,B0001,C0031,100,192
U+6797,100241706_00006_1,1312,1918,B0001,C0032,201,189
U+4F55,100241706_00006_1,1314,2187,B0001,C0033,152,172
U+67D0,100241706_00006_1,1324,2404,B0001,C0034,136,197
U+3053,100241706_00006_1,1355,2648,B0001,C0035,53,137
U+308C,100241706_00006_1,1324,2808,B0001,C0036,132,211
U+3082,100241706_00006_1,1455,3009,B0001,C0037,65,44
U+540C,100241706_00006_1,1323,3065,B0001,C0038,117,151
U+3058,100241706_00006_1,1371,3217,B0001,C0039,71,355
U+304F,100241706_00006_1,1042,931,B0001,C0040,60,177
U+5618,100241706_00006_1,987,1211,B0001,C0041,187,199
U+3064,100241706_00006_1,994,1492,B0001,C0042,147,239
U+304D,100241706_00006_1,1027,1732,B0001,C0043,93,167
U+5F25,100241706_00006_1,994,1960,B0001,C0044,167,191
U+6B21,100241706_00006_1,991,2152,B0001,C0045,160,212
U+90CE,100241706_00006_1,1024,2367,B0001,C0046,121,264
U+85AE,100241706_00006_1,988,2652,B0001,C0047,164,209
U+306E,100241706_00006_1,1020,2922,B0001,C0048,105,113
